,0
0,-0.14514726
1,-0.12970911
2,-0.014951273
3,0.045695085
4,-0.14733167
5,-0.1330584
6,-0.12887104
7,0.04618932
8,-0.014980949
9,-0.18735877
10,-0.16907907
11,-0.11843674
12,0.050722465
13,-0.04846208
14,-0.1793932
15,-0.0074144844
16,-0.07976821
17,-0.018152935
18,-0.07037014
19,-0.14300165
20,-0.031983633
21,-0.16073234
22,-0.14123727
23,-0.12316171
24,-0.024757368
25,-0.007706349
26,-0.08762526
27,0.2252182
28,0.030155787
29,-0.05988858
30,-0.09204372
31,-0.06311293
32,-0.17157005
33,0.093800366
34,-0.08500263
35,-0.12282136
36,-0.11705723
37,-0.09197075
38,-0.17420857
39,-0.17236507
40,-0.07934658
41,-0.10453106
42,0.29093343
43,-0.12692887
44,-0.017468372
45,-0.043473072
46,0.2655743
47,-0.1204124
48,-0.10070761
49,-0.13654304
50,-0.22071765
51,-0.08201713
52,-0.11447231
53,-0.07109649
54,-0.15452804
55,0.08908224
56,0.08016008
57,-0.04304729
58,-0.18164393
59,-0.21381105
60,-0.12246001
61,0.0011243987
62,-0.10940472
63,-0.059697654
64,-0.14515308
65,-0.010095145
66,-0.04436132
67,-0.08297316
68,0.10209109
69,-0.032677714
70,-0.011693655
71,0.30610415
72,-0.10881518
73,-0.06298237
74,-0.101872794
75,-0.11978892
76,-0.02612613
77,-0.005950069
78,-0.0007105586
79,-0.14933787
80,-0.011395682
81,0.042971212
82,-0.012720346
83,-0.10680562
84,-0.05414926
85,0.0368349
86,-0.10623409
87,-0.09841891
88,-0.11352702
89,-0.11554467
90,-0.09350869
91,-0.1475474
92,0.06882674
93,-0.095566764
94,-0.06726742
95,-0.065637805
96,-0.005558782
97,-0.020942882
98,-0.17286767
99,0.014599851
100,-0.11680838
101,0.024989493
102,-0.16079357
103,0.09343205
104,-0.015325678
105,0.06292716
106,-0.18438305
107,0.047354
108,-0.11771351
109,-0.008860692
110,-0.04877555
111,0.011303725
112,-0.09845761
113,0.071827665
114,-0.11527428
115,-0.04785844
116,-0.054578952
117,0.0233651
118,0.06430049
119,-0.03395774
120,0.13093613
121,-0.058552835
122,0.03247738
123,-0.17260794
124,0.05232703
125,0.055360146
126,-0.09683521
127,-0.11121931
