,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.2297476,0.030457266,0.21745981,-0.952635,0.022161802,0.05364061,0.208206,-0.1805727,0.016731335,0.1363488,0.43708408,0.01558277,-0.26788735,-0.4284527,0.15185603,-0.20987539,0.05246645,0.31280553,0.029205367,0.25531167,0.015397081,-0.17466702,-0.00033992055,0.19317906,-0.18610163,-0.25981888,0.23551841,0.023612205,0.13261898,0.10373802,0.23662758,0.3507626,0.18577659,0.5451452,-0.7606449,-0.054131802,-0.10711126,0.25002274,0.030057678,0.00923119,0.005123015,0.064793654,-0.84893155,-0.14957769,-1.9359784,0.2864877,-0.28901246,0.009577575,-0.13355996,-0.09506016,0.35088226,0.46555078,0.03203373,-0.02615729,-0.048415463,-0.11654553,0.03052933,0.19850042,0.104936674,0.04799242,-1.2545081,-0.02240185,-0.06379014,-0.13264468,0.035748206,-0.25388828,0.4399838,-0.04855815,-0.423699,0.3966991,0.33436406,-0.54750764,-0.058273353,0.106299974,0.022725739,-0.10248586,-0.051598668,-0.60901046,-0.9226701,-0.009209312,-0.35623243,-0.59761363,0.44004294,-0.15631282,-0.20039451,-0.029255515,0.3141468,0.07686324,0.08526096,-0.31442088,0.14774805,-0.1038445,-0.7198367,0.030249372,-0.09544079,-1.097684,0.24035776,0.2026136,0.44723198,0.020315213,0.12494704,-0.0039029808,-0.105363004,-1.4655079,0.0040113023,-0.096634276,0.07795292,-0.65778655,0.13017005,0.00594151,-0.028537955,0.06934761,-0.17787792,-0.27848265,0.2677908,-0.4741466,-0.082922876,-0.6031401,-0.16971625,-0.06645185,-0.37381375,0.03521182,-0.25729117,-0.08964216,-0.12744646,-0.0053401124,0.19236743,-0.103554435
1,-0.3998517,-0.011785783,0.20947582,-0.85916495,0.059739042,-0.3881107,0.054313425,-0.25385702,-0.06428766,0.09574696,0.048842203,-0.087914534,-0.2436543,0.6429034,0.11047952,0.677778,0.12528844,0.28588426,0.022473503,-0.2806134,-0.22427414,-0.0967074,-0.29185605,-0.55591285,-0.3034084,0.27368316,-0.1328628,0.23092808,-0.07174168,0.1473127,-0.08104565,-0.62762356,-1.8826599,0.06987094,0.44618848,-0.037598923,-0.5779687,0.09963808,-0.19027567,-0.09547291,-0.13393515,0.07474939,0.50501835,-0.10767002,-0.20215368,-0.7089418,-0.0025547633,-0.018714512,-0.1859206,0.04037486,0.15025666,-0.30162454,0.14188251,0.18714641,-0.24781801,-0.65639794,-0.026801832,-0.03617483,-0.120169625,0.026716156,-0.96777165,0.4520774,0.047204282,0.10533625,-0.19098766,0.36066145,0.05790698,-0.06482912,0.19982503,-0.09448644,0.20770103,0.3539578,0.010228856,-0.15785037,-0.016966404,-0.31141654,0.1414268,-0.7686817,0.30028838,-0.10152463,0.043691903,-0.45725402,0.31910545,-0.076095514,-0.37660033,-0.01690064,-1.7850453,0.34408417,-0.06642082,0.25632972,-0.21237074,-0.14190023,-0.040071636,-0.10884856,0.13693668,-0.45562214,-1.7630521,-1.3939306,-0.20708519,0.2594817,0.12197963,0.16386507,-0.0002502413,0.066631764,-0.15854204,-0.1710516,0.09746153,-0.082853846,-0.0036915704,-0.0725807,0.04520851,0.147448,0.38183352,0.13726306,0.019297771,0.39639956,-0.0680084,0.07196729,0.25119817,-0.40783504,0.20139883,0.2048162,0.16453196,-0.25432324,-0.1186086,-0.002884951,-2.490465,0.022470674
2,-0.25950044,-0.13853377,-0.3197493,-0.5028638,0.0055398704,-0.07642018,0.25055382,0.18260664,-0.07263847,0.04505331,-0.2296964,0.32388005,-0.32539278,-2.3764465,0.056140684,0.3998522,-0.020779792,0.037848134,-0.051201053,-0.24415256,0.061151057,-0.02899237,0.004821571,0.20366743,0.050609417,-0.027457723,0.21105643,0.10288009,-0.34562713,0.07802408,-0.011257388,-0.5607337,-0.37680262,-0.43157747,-0.076823846,0.17253362,-0.3000007,0.39277333,-0.092470676,-0.081368946,-0.016834157,0.063424006,-1.1124183,-0.09695802,-3.9755287,-0.33155355,-0.078694835,-0.03182695,0.23846343,0.07969901,-0.16652781,0.028787034,-0.0828237,0.33804163,-0.37889302,-1.3560035,0.021701245,-0.47554746,0.11863919,0.03399201,-0.8617501,-2.121793,-0.13416499,0.096827246,0.031146936,0.009654617,0.11684564,-0.0012061319,-0.03862171,0.071742095,-0.25996798,0.29450446,0.16703965,-0.0228579,0.033729248,-0.22835168,0.022300607,-0.39683914,0.15814137,-0.084442556,-1.1870295,-0.4837129,0.089472786,-0.41675308,0.07001669,0.11092835,0.62522537,0.2795014,-0.04295284,0.40055397,-0.18869253,-0.6853396,0.14314707,0.13266037,0.25419256,0.1695296,0.59634656,0.3218864,0.080525495,0.38072488,-0.059760448,0.20443673,0.07247242,0.064669125,-0.19969927,0.16008273,0.115248986,-0.2912266,0.17601402,0.024520941,0.03436756,0.0725961,0.041175906,0.26048985,-0.35077435,-0.16053706,-0.033939544,0.09954136,0.2877074,0.086972624,0.23133689,0.27377462,0.15353444,-0.24056374,-0.29111776,0.061512016,0.3540778,0.02257325
3,-0.047847763,0.3343377,0.005699383,0.3439024,-0.15074113,0.11884483,-0.105033584,0.18460475,0.095983416,0.18211962,0.20964459,0.35659263,0.044939287,-1.0873421,-0.060976,0.46152663,0.12378457,-0.15331936,0.015211495,-0.13409965,0.34507534,-0.0008106006,0.06345299,-0.27821377,-0.33357382,0.0011510537,-0.59206766,0.17868076,-0.03481906,0.056114364,0.053685147,-0.2835268,-0.46799532,0.7692957,-0.58426154,-0.04573216,-0.5620398,0.37381598,0.0105478875,-0.10635439,0.16449669,0.034836236,-0.45260677,-0.08429718,-3.585676,-0.3316703,0.17894141,-0.12645169,-0.22467922,0.09927977,-0.47401676,-0.011162738,-0.13282861,0.111013114,-0.4054449,-0.47827697,0.0722075,0.5817541,0.093522765,0.009425285,-1.08282,-0.6658797,-0.19568643,0.29825222,0.16924907,-0.6167884,0.1701535,0.052385606,-0.5091916,0.31605265,-0.14376496,0.22918068,0.21507032,0.1379419,-0.016078718,-0.34745672,0.046373285,-0.213361,0.09782377,0.14362356,-0.5834497,-0.30267736,0.23282346,0.32220975,-0.43571678,-0.16591626,-0.08442586,0.21094805,-0.04555587,0.23508401,0.2245743,-0.6818537,0.2630204,-0.19128528,0.025811773,0.18904255,-0.16087861,0.057693627,0.22480562,0.29228288,0.19790907,0.15848827,0.14150082,0.019838098,-0.064113095,0.16202793,-0.06928581,-0.25215706,0.0015095297,0.01865661,0.00959951,0.35185173,0.1867774,0.029926615,0.08435846,-0.34880677,0.04445573,-0.1812364,0.44454786,-0.14469345,0.24439356,0.24873191,0.3373245,-0.049764782,-0.112607695,0.18941377,0.14460504,-0.08947663
4,-0.5041215,0.10688856,0.035500616,-0.056916013,-0.05596645,0.009630937,0.09075361,0.2157432,0.1351232,0.065306604,0.010472264,-0.036319587,0.124837555,0.56005126,0.096700944,0.12745288,-0.020123744,0.5641315,0.1392448,-0.45311886,-0.12644514,-0.08366824,0.115086734,-0.052336637,0.1696669,-0.24581312,-0.17005262,0.1602658,0.035877794,-0.13346414,0.24469228,0.034414213,-0.43028674,0.47879118,-1.1207726,0.030813016,-0.57276475,-0.094789915,0.022379825,0.08539474,0.06513985,0.20224859,0.5007578,0.06667329,-0.9316276,-0.45810127,0.3011822,0.113389626,0.08273245,0.032876838,0.4927148,0.34570014,-0.03164268,-0.022520961,0.23002131,-0.247303,0.27464202,-0.42224103,-0.10596041,-0.11056228,-0.57021993,0.41158867,0.033688217,-0.6658313,-0.12670429,-0.19716756,0.06243488,0.121161796,-0.46512976,-0.06560957,0.35074818,0.37923557,-0.07115818,-0.06607953,-0.16241153,-0.07624992,0.20799795,-0.47054818,-0.65205324,0.14321281,-0.24166259,-0.7880678,0.26190054,-0.1778977,-0.058747977,0.15721996,0.16832331,0.44878608,0.0651086,-0.00044433237,0.11419909,-0.2213886,0.004463459,0.104233846,-0.0217961,-1.4080015,0.36802855,0.3376912,-0.24152865,0.017717741,0.18141425,0.05525119,0.14544156,-0.4756995,-0.06624846,0.01397522,0.06888411,-0.10923071,0.17402355,0.07245506,0.12946728,0.22744432,-0.5283388,-1.7118133,-0.047468174,0.0013930573,0.064783916,0.03025816,0.124097385,-0.39938205,0.29084778,-0.06887717,0.07195244,-0.48461798,0.16846949,-0.0448362,-0.07761232,0.048408557
5,0.4213015,0.17394134,-0.106968954,-0.44984382,-0.044322673,-0.06578605,-0.031280614,-0.01606496,0.13413574,0.06463499,-0.3643505,-0.3246138,-0.20842731,0.5540092,0.028538205,0.16078474,0.14178775,-0.084930494,0.17068504,-0.16885623,-0.10799847,-0.1324708,0.15040714,0.1368689,0.12141775,0.1719172,-0.3027268,0.33252233,0.11911344,-0.18486258,-0.25585282,-1.6117045,0.26618665,-0.45154732,-0.28255573,-0.01267062,-0.8427235,-0.61058664,0.05129059,-0.15909722,-0.0657013,-0.0018971068,0.46366417,-0.036956105,0.3843615,0.17996992,0.626044,0.20794939,-0.23728968,0.10378158,-0.3398202,0.32184908,0.21129787,0.05687006,0.21727408,1.0030801,0.24787708,-0.14372782,-0.031581942,-0.2359115,-0.76095873,0.07288447,-0.15328641,-0.23877674,0.06801527,-0.022603616,0.06954438,0.0012740791,-0.058523685,-0.039412163,-0.4473367,0.21138974,-0.02459796,-0.18314134,0.0041166535,0.09070458,-0.05584237,-0.5025971,0.13012463,-0.10695356,0.40166003,-0.2618853,-0.058431227,-0.17170231,0.6668722,0.22945787,0.25667876,0.5506257,0.24067956,-0.11144494,-0.23469393,-0.22880693,0.14619003,-0.13544281,0.084720835,-0.6193631,0.0447447,0.38726544,-0.14943215,0.33303842,-0.0025812595,0.41738573,0.017306324,0.4547195,-0.045939688,0.066320844,-0.17701331,-0.26695737,0.07882471,0.09529523,0.0025107039,0.12304953,0.25261083,-1.3513745,-0.26356027,-0.28991842,-0.2864393,0.21943863,0.1344782,-0.5769103,0.45141804,-0.17773053,0.23896368,0.17473185,0.40704206,0.17838785,-0.55441815,-0.077719346
6,-0.2613174,-0.029234974,-1.0724148,0.2673285,-0.11900244,0.06661837,0.11847146,-0.18656498,-0.011952843,0.021233862,-1.2409751,-0.042658675,0.15316741,-0.3824347,0.023913495,-1.1000994,0.07480882,0.011009845,0.011379204,-0.20318966,0.20845214,-0.0039205826,0.033085395,0.22005339,0.08121623,0.19993143,0.3782033,-0.8562144,-0.14138696,-0.38781813,-0.82976514,0.26110765,-0.004878319,0.4871857,0.17345032,-0.05582141,0.07716089,-0.46181878,0.010255625,-0.11731744,0.07550821,-0.3071893,-0.6837802,0.017280687,-0.46978483,0.1661762,-0.07228306,0.1880706,-0.016988112,0.1641213,-0.4097471,-0.8345374,0.075574204,-0.12991072,0.13551705,-0.4594349,-0.011494089,0.34410203,-0.2054627,0.005511235,0.22145744,0.198762,-0.00094214734,-0.143834,0.065798946,-0.25931814,-1.1811988,-0.32868996,0.24397467,-0.61325866,-0.5009916,-0.5333871,-0.03597029,0.027919918,-0.059168037,0.2885318,-0.07023487,0.23080868,0.13256848,-0.04962337,0.026031772,0.2515441,-0.42377925,0.18564987,-0.009174973,0.12528539,0.18860641,0.24139681,-0.041274704,0.117003284,0.28154004,0.1285609,-0.111980185,-0.16671382,-0.32295048,0.18838416,0.24799107,0.33047238,-0.30112556,-0.4634196,0.05376399,-0.05800432,-0.15592387,-0.52461517,0.19189085,-0.5802102,-0.12699096,0.32432768,0.24329872,-0.23046334,-0.17075492,-1.272112,0.020339763,0.3118639,-1.0769011,-0.33696753,-0.08969612,0.31086382,-1.016813,0.41406533,-0.51768625,-0.42155677,0.19627158,0.1610779,-0.095382944,-0.08658768,0.83196163,-0.09386199
7,-0.43078136,-0.09446457,0.31668422,-0.69502664,-0.09330132,-0.019412218,0.2257037,0.061413527,0.15083125,0.31022725,0.5110318,-0.018056791,-0.49376914,0.45305073,0.22575004,0.17909731,-0.06272958,-0.3732221,0.1693965,-0.24899048,-0.17979044,-0.039423198,-0.0010361652,0.2718604,-0.23765288,-0.90751207,0.2551298,0.13675402,-0.21505517,0.02715958,-0.02828181,-0.07317313,0.51450235,-0.15753584,-0.54314524,0.100270994,-1.2707323,0.24556907,-0.26078597,0.16515648,-0.045323353,0.11355072,-0.11047394,0.05184708,-0.24282709,0.24417843,-0.45458457,0.17727898,-0.042842254,0.15971074,0.061879512,0.31152865,0.13187468,0.019544456,0.18058535,-0.3017831,0.011464193,-0.74933517,0.22181842,0.123821236,-1.2394435,-0.45313478,0.2004024,0.4823693,0.10094172,0.5942437,0.31715545,0.04858037,-0.15289141,0.021671897,0.2619029,-0.42467785,0.0015387275,0.14666015,0.036694393,-0.2605971,-0.0066888784,-0.33896282,-0.82285875,0.11906499,0.24090289,-1.2625226,-0.013047917,-0.39987946,-0.22263831,-0.016254047,0.3003184,1.0308206,0.06029261,-0.16828538,-0.15325262,-0.41745976,-0.4786955,-0.02650615,-0.037452396,0.4434818,0.10931349,0.06807119,-0.33491045,0.34102216,0.022442756,-0.07415938,0.09247776,0.110856324,-0.6852298,0.41128638,0.18866536,-1.281844,0.08581419,-0.0012967775,0.092470154,0.13277406,0.5335824,-1.9203436,0.3970905,0.2500285,0.082681745,-0.87708265,0.48205212,-0.4940157,-0.029525688,0.12514238,-0.20235075,0.27006358,-0.28217548,-0.06490083,0.09333654,0.11335407
8,0.7909213,0.14539845,-0.36825043,0.26301494,-0.4181383,-0.13317034,0.0078858035,0.04778182,-0.13888136,-0.14857148,-0.15051563,0.15171503,0.19362536,-0.7089135,0.08803903,0.049712185,0.15765204,-0.5797412,-0.068140075,-0.47215837,0.14439276,0.043455504,-0.10764177,-0.26043174,0.021865375,0.022917151,-0.084089145,0.045045048,0.056061953,-0.4608445,0.022670867,0.09620515,-0.42022496,0.4354112,-0.014837745,0.07297953,0.031816483,0.306571,0.17842467,0.023786193,0.038223613,0.09573691,-0.70168185,-0.07284839,-1.689461,0.3314436,-0.38541114,-0.16251415,-0.11173459,0.09838776,-0.7694587,-0.36777097,0.03714353,0.31533444,-0.4769706,0.54298455,-0.15710932,0.7388427,-0.07130829,-0.17751803,0.17433083,0.39019027,0.20633255,0.34611592,0.16280626,-1.3875506,-0.054064114,0.046684742,-0.042188287,-0.06173875,-0.6221794,0.077467814,-0.022892645,0.0005716292,0.038838737,0.1305564,0.13302414,0.110090315,0.062064763,-0.07810329,-0.09199783,0.14144243,-0.36845875,0.23318857,0.17119388,0.123357706,-0.53416806,0.31385162,-0.042922508,-0.10511517,0.2248303,0.1658919,0.16722889,-0.018317455,-0.30542916,0.15195711,-0.81359047,-0.92702365,-0.40612146,-0.06984968,0.23461443,0.12680963,0.13415599,0.2626043,0.18945341,-0.049225606,0.0031135012,0.095848404,0.18208396,0.014523017,0.052593313,-0.02430521,0.22280198,0.54108477,-0.13344602,-0.092442855,-0.31554204,0.044511575,-0.092709266,-0.28638965,-0.19536549,0.22696133,0.19941151,-0.41235632,0.14412159,0.10141688,-1.7210542,0.21466061
9,-0.44747975,0.25059822,0.13511683,-0.7999916,-0.05449276,-0.111616746,-0.14759482,-0.0517635,-0.075489394,-0.07268746,0.033577826,-0.059756983,-0.426089,0.72235346,0.08007656,0.4430274,-0.14058656,0.1627297,0.00603617,-0.103760034,-0.15539798,-0.1543417,-0.12102621,-0.42243853,0.48020947,-0.7988604,-0.33039337,0.13262571,-0.010559005,-0.073415674,0.1029087,-1.8402555,-0.2807301,-0.3342813,-0.9596832,0.04744849,-0.8842243,-0.20918417,0.022943707,0.15946123,0.22045621,0.039654616,0.627388,-0.28008732,0.55570525,-0.72388303,0.17205875,-0.255766,-0.40142366,0.14097986,-0.40498137,-0.15549839,-0.11174837,-0.25377414,0.3950664,-0.24842769,0.12962985,-0.7226523,-0.07838088,-0.06135015,-1.1302291,0.2429335,0.08991057,-0.0713867,-0.08164058,-0.0061094756,-0.13841723,0.025577083,0.16181494,-0.04634096,-0.22845797,0.23638758,-0.23025636,0.18388657,-0.11623359,-0.013860166,0.26291797,-0.44352326,-0.35538337,0.06290173,0.41115546,0.015252392,0.0358744,-0.061016273,-0.18884793,0.11649494,-1.9489577,0.40356025,0.21066411,-0.37312683,-0.22424823,-0.39650783,0.008716515,0.05796484,-0.0034223448,-0.49928778,-1.9543095,-0.99760765,0.09998812,0.29219502,0.22204787,0.06958405,0.12217222,-0.069878705,-1.1308099,-0.029054187,0.03564501,0.06731477,0.14610337,0.030361775,-0.033616796,0.33127204,-0.09039324,0.28244027,0.109016106,0.33685875,0.06537112,-0.31220165,0.26882184,-0.19689271,0.4586603,-0.19605877,0.10918578,0.0861932,0.21600471,0.10622139,-2.409217,-0.0012564748
