,0
0,10.074091
1,10.272514
2,10.102357
3,9.700637
4,10.547081
5,10.259422
6,10.11263
7,9.977726
8,10.169332
9,10.285436
10,10.01446
11,10.236538
12,9.929762
13,9.267899
14,10.5502
15,9.909473
16,10.36682
17,9.890157
18,10.475922
19,10.527034
20,10.456241
21,10.149166
22,10.416581
23,10.339884
24,10.203194
25,9.349984
26,10.062135
27,10.062346
28,9.568158
29,10.554053
30,9.947741
31,9.576353
32,9.79633
33,9.058166
34,9.502997
35,10.289371
36,9.754889
37,10.270281
38,10.012789
39,10.389144
40,10.304395
41,10.45296
42,9.480575
43,10.572961
44,9.408545
45,10.597349
46,9.0034685
47,10.339685
48,10.105749
49,10.087117
50,10.203522
51,10.3384
52,10.41691
53,10.0356045
54,9.580827
55,9.444927
56,9.942323
57,9.604424
58,10.214578
59,10.304853
60,9.363123
61,9.918902
62,10.214775
63,9.471987
64,10.323685
65,9.442875
66,10.098187
67,10.560907
68,9.777934
69,10.4228525
70,10.143833
71,9.002587
72,10.051855
73,10.031455
74,10.429331
75,9.96134
76,10.4827175
77,9.617748
78,9.630919
79,10.534058
80,9.952086
81,9.702325
82,9.967739
83,9.899551
84,10.051581
85,10.342589
86,9.890571
87,10.0641575
88,10.365243
89,10.065778
90,10.297111
91,9.809815
92,9.465821
93,10.235909
94,10.387725
95,9.357766
96,9.429884
97,9.626046
98,10.391333
99,9.899855
100,10.085857
101,9.934849
102,10.347856
103,9.401754
104,9.547182
105,10.46181
106,10.467337
107,9.577178
108,10.267575
109,10.166833
110,9.771113
111,9.85695
112,9.82498
113,9.16427
114,10.309353
115,10.071063
116,10.090087
117,9.408879
118,9.437359
119,10.36538
120,10.013889
121,10.157256
122,9.900956
123,10.399676
124,10.132096
125,9.989951
126,9.407059
127,10.2532625
