,0
0,0.06817424
1,0.05638363
2,-0.09092637
3,-0.02047161
4,0.025811808
5,-0.05086388
6,-0.043658987
7,-0.02653205
8,-0.006581625
9,-0.09026528
10,-0.13685238
11,-0.05778666
12,-0.051040865
13,0.014098442
14,-0.049481142
15,-0.06830888
16,0.027582267
17,0.19148523
18,-0.18795164
19,0.02824609
20,-0.03227736
21,-0.038027823
22,0.03732398
23,-0.26136804
24,-0.12372182
25,-0.03583397
26,-0.11260151
27,-0.12713778
28,-0.13008943
29,0.22164302
30,-0.11592724
31,-0.018806707
32,-0.09982599
33,-0.012479855
34,-0.102989614
35,-0.054100767
36,-0.1219337
37,-0.11572469
38,-0.17641865
39,-0.019060513
40,-0.06695478
41,0.16651858
42,0.05057923
43,-0.18364003
44,-0.018229757
45,-0.09647173
46,0.32334253
47,-0.10709397
48,0.027659873
49,-0.03893279
50,-0.06330825
51,-0.15871836
52,0.025247552
53,-0.041572902
54,0.10398799
55,-0.062288724
56,-0.10040055
57,-0.08400195
58,-0.025849354
59,-0.07135386
60,-0.051709138
61,-0.030945947
62,-0.072765894
63,-0.010851355
64,-0.038047727
65,-0.10273401
66,-0.095401034
67,-0.07615014
68,-0.07361501
69,-0.058495123
70,0.12828873
71,0.036320936
72,-0.059743747
73,-0.061617434
74,-0.050774347
75,0.029425155
76,0.001849484
77,-0.06723856
78,0.0269479
79,-0.05098037
80,-0.06938381
81,-0.045133606
82,0.028920136
83,0.12177065
84,0.028541269
85,-0.14294906
86,0.02675959
87,0.022474088
88,-0.071145274
89,0.029632233
90,-0.07191974
91,-0.10076632
92,-0.11635006
93,-0.06506085
94,-0.018189719
95,0.3483425
96,-0.052125324
97,-0.081442736
98,-0.09677134
99,-0.066777684
100,0.002087266
101,-0.07226547
102,0.13539885
103,-0.1174359
104,-0.049017657
105,0.02671466
106,-0.045411192
107,-0.25291255
108,0.00024342124
109,-0.045989666
110,-0.079207815
111,0.004888832
112,0.030189063
113,-0.06678286
114,-0.084772624
115,-0.048904385
116,-0.01097309
117,-0.0135281235
118,0.18256146
119,0.038669605
120,-0.039230525
121,-0.086216465
122,-0.032741867
123,-0.11543187
124,-0.07503009
125,0.025562825
126,-0.0885009
127,-0.09989644
128,-0.012798888
129,-0.0142980395
130,-0.09566917
131,-0.09734121
132,0.06753004
133,0.029847683
134,-0.07873091
135,-0.062144373
136,0.07363634
137,-0.08520411
138,-0.11303933
139,0.059434794
140,-0.06547925
141,-0.07307102
142,-0.091486804
143,-0.042798564
144,0.10967665
145,-0.09439851
146,-0.052370172
147,-0.052030608
148,0.05003578
149,0.19434379
150,-0.113374025
151,-0.057016935
152,-0.060815692
153,-0.021370362
154,-0.12012993
155,-0.059933405
156,-0.001765402
157,0.0233853
158,-0.09088737
159,-0.08470113
160,-0.06235427
161,-0.10652995
162,-0.09800332
163,-0.077939115
164,0.2598604
165,0.028247625
166,-0.07370089
167,-0.0029953509
168,-0.019140184
169,-0.09091774
170,-0.027004818
171,-0.11374281
172,-0.004001896
173,0.2604159
174,0.07683522
175,0.02585107
176,-0.25189295
177,-0.009208934
178,-0.06388079
179,0.10335402
180,0.14266859
181,-0.007714801
182,-0.0777744
183,-0.083205745
184,-0.08797929
185,-0.047725365
186,0.014772244
187,-0.09352245
188,0.10795804
189,-0.090049595
190,-0.02132871
191,-0.11510574
192,0.21035422
193,-0.008871471
194,0.016647063
195,-0.0065204413
196,0.028842147
197,-0.113975555
198,-0.042299267
199,0.0558119
200,0.029933589
201,0.062188562
202,-0.09836252
203,-0.026547285
204,0.026698554
205,-0.05675812
206,0.12427522
207,-0.0002541084
208,-0.014653601
209,0.14098608
210,-0.08504477
211,0.00864389
212,-0.26610494
213,-0.044011153
214,-0.048294734
215,-0.083040304
216,-0.0445474
217,-0.083082415
218,-0.07412607
219,-0.22581868
220,-0.10157098
221,0.011547293
222,-0.059108663
223,0.111746676
224,-0.017503466
225,-0.08327439
226,-0.040953487
227,-0.07017186
228,0.028575629
229,-0.04348593
230,-0.060777307
231,-0.01740956
232,-0.06648624
233,-0.068669796
234,-0.05620341
235,0.01865475
236,-0.07017505
237,-0.10723876
238,-0.092888996
239,-0.124024086
240,0.0063806525
241,0.12902354
242,-0.05319717
243,-0.08610817
244,0.2504901
245,-0.059605844
246,-0.17898642
247,-0.051343396
248,-0.052294586
249,-0.035495304
250,-0.06832291
251,-0.071527414
252,-0.080383
253,-0.09940546
254,-0.009789197
255,0.11285346
