,0
0,99.994965
1,100.84063
2,100.32034
3,100.03364
4,100.66044
5,99.84573
6,101.11386
7,99.94636
8,99.94419
9,99.77255
10,100.21703
11,100.65569
12,100.62657
13,99.942444
14,99.87782
15,99.998795
16,99.96496
17,100.24857
18,99.90904
19,99.829185
20,100.490166
21,100.25875
22,100.46705
23,100.40881
24,100.70131
25,99.89042
26,99.990326
27,99.956924
28,100.157295
29,99.92678
30,99.520615
31,100.173164
32,99.89756
33,100.05451
34,100.07493
35,99.978966
36,100.00889
37,100.30997
38,99.94439
39,99.96577
40,100.0604
41,99.98605
42,100.202225
43,100.391525
44,99.973145
45,101.369026
46,99.842514
47,100.34122
48,99.55692
49,100.77793
50,100.7229
51,99.95527
52,100.46972
53,99.69219
54,99.946526
55,101.009186
56,100.34079
57,100.48265
58,100.24322
59,99.95516
60,99.93522
61,99.95143
62,99.83214
63,99.86004
64,100.0234
65,100.29895
66,100.07627
67,100.465866
68,100.464226
69,100.38928
70,100.04947
71,99.928406
72,100.30745
73,100.01573
74,99.952255
75,100.707466
76,99.95353
77,99.99738
78,99.85656
79,100.611244
80,101.44251
81,99.773285
82,99.940025
83,99.95793
84,100.0055
85,100.699814
86,100.25891
87,99.987175
88,100.23755
89,100.5268
90,100.06442
91,100.22756
92,99.86555
93,101.503975
94,99.950066
95,100.05414
96,100.23402
97,100.10432
98,99.96317
99,100.02878
100,100.82424
101,99.44064
102,99.92878
103,100.39655
104,100.21221
105,99.94309
106,99.94324
107,100.399994
108,99.94959
109,100.588264
110,99.947014
111,99.93773
112,99.99969
113,99.9494
114,100.24306
115,99.96411
116,100.32603
117,99.99891
118,100.58421
119,100.72257
120,100.145134
121,99.88207
122,100.70698
123,100.24823
124,100.00943
125,99.58877
126,99.856125
127,99.816605
128,99.98033
129,100.99915
130,99.78446
131,100.4633
132,99.86206
133,100.34516
134,99.64739
135,99.95957
136,99.67157
137,100.9989
138,99.46426
139,100.71258
140,99.78406
141,99.89571
142,100.71229
143,99.99113
144,99.95624
145,101.15199
146,99.81427
147,100.2531
148,99.85558
149,99.87781
150,99.48605
151,100.350235
152,100.25449
153,99.841225
154,100.352684
155,100.40307
156,100.399376
157,100.095894
158,100.791916
159,100.0632
160,100.27981
161,100.1535
162,99.870865
163,100.09114
164,99.997314
165,100.325035
166,99.807
167,99.98296
168,100.26329
169,100.03775
170,99.543045
171,100.00854
172,100.1148
173,99.98275
174,99.986855
175,100.19672
176,99.94334
177,99.94673
178,99.94176
179,100.59279
180,99.73239
181,99.74821
182,100.54814
183,100.13904
184,100.188545
185,100.667435
186,99.925064
187,99.665924
188,100.4299
189,100.17108
190,100.112175
191,99.94041
192,100.00191
193,101.183334
194,100.40972
195,99.953415
196,99.95029
197,100.717224
198,100.368645
199,100.48264
200,100.385765
201,99.90093
202,100.15296
203,100.30566
204,100.54309
205,100.076065
206,101.38939
207,99.95603
208,99.96263
209,99.86656
210,100.58964
211,99.839226
212,100.00829
213,100.13154
214,99.948204
215,99.88441
216,99.66021
217,100.41341
218,100.66448
219,99.80534
220,99.56649
221,100.493675
222,100.20778
223,100.57098
224,100.07044
225,99.96112
226,100.35701
227,99.95675
228,99.97236
229,99.66883
230,99.89112
231,99.96875
232,99.939514
233,99.95117
234,99.97357
235,101.11608
236,99.9843
237,100.12033
238,100.97303
239,99.94361
240,99.996864
241,100.2817
242,99.8511
243,99.95348
244,100.14836
245,100.0994
246,99.48365
247,100.32249
248,100.478065
249,99.76492
250,100.23513
251,100.54887
252,100.06547
253,100.35704
254,100.318695
255,99.7719
