,0
0,9.90338
1,9.954541
2,10.133834
3,10.019902
4,9.897073
5,9.971335
6,9.969121
7,9.998474
8,9.93878
9,10.088596
10,8.0330105
11,9.991891
12,10.067929
13,10.096465
14,10.025288
15,10.044776
16,10.070202
17,10.021862
18,9.792226
19,10.033458
20,10.057657
21,10.046471
22,10.031326
23,10.044117
24,10.02663
25,9.914385
26,10.11667
27,9.982203
28,10.057697
29,9.926771
30,10.060194
31,10.017891
32,9.957435
33,9.925264
34,10.093458
35,10.019904
36,9.967044
37,9.965339
38,9.21636
39,10.103998
40,9.976133
41,10.099137
42,10.094921
43,10.063479
44,10.133302
45,9.850284
46,9.773213
47,10.14319
48,10.015909
49,8.776749
50,10.042836
51,9.938656
52,9.984973
53,9.925895
54,9.914964
55,10.011571
56,9.895547
57,9.980168
58,10.0220585
59,10.117932
60,9.912776
61,10.010417
62,9.988117
63,10.184541
64,9.968409
65,10.018506
66,9.855178
67,9.799841
68,10.111646
69,10.068017
70,9.998702
71,9.996273
72,10.118643
73,10.007347
74,9.911584
75,9.917301
76,10.099554
77,10.031562
78,10.0773535
79,10.051847
80,9.9460945
81,10.078462
82,10.051024
83,10.040924
84,10.03522
85,10.027807
86,9.8473215
87,10.1565695
88,9.967283
89,10.0789795
90,9.955704
91,9.881131
92,10.065147
93,9.966188
94,9.866409
95,10.066496
96,9.908061
97,9.089643
98,8.845602
99,10.0561285
100,9.589114
101,9.999587
102,10.082033
103,10.077131
104,9.917814
105,10.096147
106,10.076665
107,10.045909
108,10.034682
109,8.5451565
110,9.913097
111,9.899164
112,9.945298
113,10.031486
114,9.859292
115,8.108875
116,9.993118
117,9.897918
118,9.637789
119,10.117436
120,10.033676
121,10.085882
122,9.841654
123,9.84783
124,10.002781
125,10.101538
126,10.019956
127,10.0120945
128,10.110922
129,10.113198
130,9.9716
131,9.955992
132,10.092215
133,10.095409
134,9.927158
135,9.871324
136,9.916389
137,10.061382
138,10.046422
139,10.091941
140,10.085071
141,10.063085
142,9.99941
143,10.072054
144,9.905443
145,9.912787
146,9.95503
147,10.046658
148,10.055079
149,9.895007
150,10.060887
151,8.833797
152,10.073232
153,10.087025
154,9.950331
155,9.912837
156,9.888732
157,9.725388
158,10.136929
159,10.106718
160,9.878276
161,9.964391
162,9.958319
163,9.925661
164,10.075808
165,9.9944105
166,10.024969
167,9.998509
168,10.069082
169,9.865381
170,10.079821
171,10.155189
172,10.118408
173,10.06237
174,10.027527
175,10.0541525
176,10.001931
177,10.055639
178,10.010139
179,8.589021
180,9.8136215
181,10.026708
182,10.095456
183,10.03675
184,10.037166
185,9.910802
186,10.317187
187,9.871142
188,9.953021
189,9.831488
190,10.056836
191,9.95317
192,10.082028
193,9.944937
194,10.099735
195,9.894916
196,9.941861
197,10.0143795
198,9.877214
199,9.853396
200,9.869778
201,10.097931
202,9.718701
203,10.066267
204,10.012573
205,10.0209
206,10.104605
207,9.217546
208,10.076447
209,9.904328
210,8.742429
211,10.116176
212,10.030535
213,9.916629
214,9.902483
215,10.022865
216,9.939057
217,10.00295
218,9.541148
219,9.902369
220,10.023273
221,10.032998
222,8.7313385
223,9.890113
224,9.907033
225,9.860269
226,9.516642
227,10.08096
228,10.147771
229,9.896937
230,9.973814
231,9.905554
232,10.110741
233,10.087276
234,9.887723
235,10.066984
236,9.901333
237,9.91903
238,9.990907
239,10.014219
240,8.53961
241,9.910324
242,9.76961
243,9.903945
244,9.691255
245,10.0674
246,10.023976
247,10.174137
248,9.987627
249,10.010289
250,10.035291
251,10.04494
252,9.963335
253,9.9208975
254,9.896679
255,9.847765
256,9.871675
257,10.072114
258,10.033372
259,10.088324
260,9.894376
261,10.100532
262,10.054708
263,10.091862
264,9.907874
265,9.900094
266,9.884909
267,10.030335
268,9.945649
269,10.0158415
270,8.263295
271,9.908492
272,9.999474
273,10.153516
274,10.044757
275,9.889441
276,9.716734
277,10.012341
278,10.018576
279,7.709979
280,10.092386
281,9.891925
282,9.993321
283,10.145855
284,8.578052
285,10.091679
286,10.016161
287,10.025704
288,9.827224
289,10.087119
290,9.925372
291,10.155264
292,10.063526
293,9.891663
294,9.996154
295,9.908451
296,9.931069
297,10.060318
298,10.016044
299,7.7988553
300,10.0222025
301,10.083451
302,9.966376
303,10.059499
304,9.901166
305,9.888195
306,9.937928
307,10.044346
308,10.118689
309,9.856973
310,10.083611
311,7.316287
312,10.05062
313,10.058284
314,10.080063
315,10.032729
316,10.033946
317,9.988596
318,10.053295
319,10.088411
320,10.064452
321,9.312024
322,10.056863
323,10.084601
324,10.107119
325,8.100509
326,9.997524
327,10.138053
328,10.027913
329,10.024017
330,8.755537
331,10.004854
332,10.080854
333,10.021878
334,9.861352
335,10.088648
336,9.177023
337,9.916441
338,9.228656
339,9.694153
340,9.794784
341,9.964516
342,10.120086
343,10.056052
344,10.136868
345,9.121041
346,9.873393
347,10.060704
348,10.152258
349,10.0998
350,10.125979
351,9.967907
352,10.015731
353,10.057285
354,10.09054
355,10.108041
356,9.987252
357,9.905623
358,10.031263
359,10.039714
360,9.76641
361,9.778217
362,10.067473
363,9.997209
364,9.995539
365,10.059252
366,9.972461
367,9.968669
368,9.626324
369,10.139744
370,9.860491
371,9.995041
372,10.027705
373,10.0304
374,10.139815
375,9.97814
376,9.169639
377,10.062427
378,9.968675
379,10.079154
380,10.099445
381,9.965488
382,10.021193
383,10.057651
384,10.0295515
385,10.020616
386,10.054618
387,10.008884
388,10.637765
389,9.99754
390,10.11782
391,10.065442
392,9.848401
393,10.044563
394,9.94215
395,9.885489
396,10.089526
397,10.119408
398,10.159516
399,9.916959
400,10.004598
401,10.118675
402,10.101612
403,10.149163
404,10.035013
405,9.872591
406,9.986126
407,10.150673
408,9.955271
409,10.062382
410,10.023867
411,10.031538
412,10.07978
413,10.093904
414,10.02847
415,9.963007
416,10.087372
417,10.032868
418,10.119214
419,10.0826645
420,10.103739
421,10.024326
422,9.91515
423,10.133634
424,10.047072
425,10.070119
426,9.79492
427,10.060426
428,9.894868
429,9.009166
430,10.011243
431,10.003101
432,10.166628
433,10.03015
434,9.864707
435,9.1725025
436,10.039788
437,9.992852
438,9.945898
439,10.013139
